스테이지 ID,오디오 파일명,다이얼로그 ID,다이얼로그 내용,스타트 타임(초),엔드 타임(초),비고
Stage ID,Audio,DialogueID,DialogueText,Start Time,End Time,
1,AD_Stage1,D001,"1970년 2월 13일
칼트, 적국 선전 방송",0,2,2
1,AD_Stage1,D002,오늘 우리는 알렌의 반란에 대해 이야기하겠습니다.,2.11,5.09,2.98
1,AD_Stage1,D003,"뻔한 결과였죠, 반란은 실패로 끝났고, 결국 칼트가 알렌을 지배했습니다.",5.23,11.2,5.97
1,AD_Stage1,D004,무의미한 민간인 피해도 상당했어요.,12.04,14.08,2.04
1,AD_Stage1,D005,"그런데 말입니다, 만약 그 결정이 저지되었다면?",14.19,17.2,3.01
1,AD_Stage1,D006,"글쎄요, 가능성은 극히 낮습니다만,",18.04,19.23,1.19
1,AD_Stage1,D007,그들이 외치던 '혁명'이 되었을지도 모르겠군요.,20.06,23.23,3.17
1,AD_Stage1,D008,이번에도... 결국 반란으로 기록됐군.,25.11,28.2,3.09
1,AD_Stage1,D009,다시 1940년으로 돌아간다.,29.06,32.08,3.02
1,AD_Stage1,D010,이번에는 반드시 희생 없는 진정한 혁명을 이루겠다.,32.21,37.13,4.92
4,AD_Stage4,D011,"1970년 2월 13일
칼트, 적국 선전 방송",0,2.27,2.27
4,AD_Stage4,D012,알렌 레지스탕스의 반란에 대해 이야기하겠습니다.,3.24,7.13,3.89
4,AD_Stage4,D013,"흠, 반란자로 꽤 젊었더군요. 표적이기도 했고.",8.02,13.11,5.09
4,AD_Stage4,D014,희생을 최소화하며 목표를 노렸습니다.,14.02,16.28,2.26
4,AD_Stage4,D015,특히 행정 수석 사관은 같은 입장에서 위협적이었죠.,17.21,22.12,4.91
4,AD_Stage4,D016,"하지만 뭐, 결과는 뻔했잖습니까?",23.02,26.21,3.19
4,AD_Stage4,D017,결국 알렌은 칼트의 질서 아래 무릎을 꿇었죠.,27.07,31.01,3.94
4,AD_Stage4,D018,뻔한 결과라고?,33.01,34.25,1.24
4,AD_Stage4,D019,내가 뒤집어주지.,35.09,37.14,2.05
7,AD_Stage7,D020,"1970년 2월 13일
칼트, 적국 선전 방송",0,2,2
7,AD_Stage7,D021,알렌 반란이 가장 위험했던 순간을 돌아보겠습니다.,3,7.24,4.24
7,AD_Stage7,D022,"암살 습격 사건, 그때가 저항이 극에 달했죠.",8.17,12.14,3.97
7,AD_Stage7,D023,맞습니다. 그래서 우리도 총력을 다해서 결국 진압했죠.,13.03,16.25,3.22
7,AD_Stage7,D024,그 혼란 속에서도 한 자가 역사 한가운데 섰습니다.,17.11,21.15,4.04
7,AD_Stage7,D025,알렌 놈들은 아직도 그 자를 영웅이라 떠받들더군요.,22.11,26.1,3.99
7,AD_Stage7,D026,"네, 그의 이름은...",26.25,28.27,2.02
7,AD_Stage7,D027,거의 다왔다.,30.06,31.05,0.99
7,AD_Stage7,D028,칼트의 시대는 끝난다.,31.18,34.21,3.03
BadEnding,AD_BadEnding,D029,"1970년 2월 13일
칼트, 적국 선전 방송",0,2,2
BadEnding,AD_BadEnding,D030,오늘은 알렌 혁명을 결정짓는 순간을 돌아보겠습니다.,3,8.26,5.26
BadEnding,AD_BadEnding,D031,"협정 지지 작전, 바로 이때 알렌의 운명이 바뀌었죠.",9.22,14,4.78
BadEnding,AD_BadEnding,D032,그 덕에 알렌은 칼트의 지배에서 벗어났습니다.,14.2,18.23,4.03
BadEnding,AD_BadEnding,D033,"말 그대로, 기적 같은 혁명이었죠.",19.14,22.13,2.99
BadEnding,AD_BadEnding,D034,그리고 그 중심에 한 사람이 있었습니다.,23.06,25.21,2.15
BadEnding,AD_BadEnding,D035,"레지스탕스의 영웅, 앨리자.",26.09,29.04,2.95
BadEnding,AD_BadEnding,D036,"대중과 함께 전장을 지휘하며 알렌을 승리로 이끌었고,",29.17,34.1,4.93
BadEnding,AD_BadEnding,D037,반란이라 기록될 역사를 혁명으로 바꿨습니다.,35.01,37.29,2.28
BadEnding,AD_BadEnding,D038,"마침내,",39.05,40.02,0.97
BadEnding,AD_BadEnding,D039,해냈다.,40.25,42.23,1.98
GoodEnding,AD_GoodEnding,D040,"1970년 2월 13일
알렌, 국가 선전 방송",0,2,2
GoodEnding,AD_GoodEnding,D041,오늘은 알렌 혁명을 결정짓는 순간을 돌아보겠습니다.,3,8.26,5.26
GoodEnding,AD_GoodEnding,D042,"협정 지지 작전, 바로 이때 알렌의 운명이 바뀌었죠.",9.22,14,4.78
GoodEnding,AD_GoodEnding,D043,그 덕에 알렌은 칼트의 지배에서 벗어났습니다.,14.2,18.23,4.03
GoodEnding,AD_GoodEnding,D044,"무의미한 희생 없이 이루어진, 기적 같은 혁명이었죠.",19.14,23.03,3.89
GoodEnding,AD_GoodEnding,D045,그리고 그 중심에 그들이 있었습니다.,23.21,25.23,2.02
GoodEnding,AD_GoodEnding,D046,"알렌의 영웅, 레지스탕스.",26.15,29.03,2.88
GoodEnding,AD_GoodEnding,D047,"대중과 함께 전장을 지휘하며 알렌을 승리로 이끌었고,",29.25,34.04,4.79
GoodEnding,AD_GoodEnding,D048,반란이라 기록될 역사를 혁명으로 바꿨습니다.,35.01,37.29,2.28
GoodEnding,AD_GoodEnding,D049,"마침내,",39.03,40.02,0.99
GoodEnding,AD_GoodEnding,D050,해냈다.,41,42.23,1.23
