DialogueID,Level,SequenceNo,Phase,LineType,SimulationResult,SpeakerId,SpeakerName,CharacterImage,DialogueText,ChoiceGroup,ChoiceKey,ChoiceText,NextAction,Enabled,OriginalOrder,DevComment,SourceRow,Notes
DLG_1_RESULT_PerfectWin_001,stage_001,101,Result,Line,PerfectWin,Eliza,부관 엘리자,Eliza_Resistance_Joy,"완벽한 작전이었습니다. 한 순간에 적을 무력화하시다니, 대단하군요 대장.",,,,Next,TRUE,0,#1 완전 승리 다이얼로그,12,
DLG_1_RESULT_CivilianDeadWin_002,stage_001,101,Result,Line,CivilianDeadWin,Eliza,부관 엘리자,Eliza_Resistance_Despair30,민간인이 등장하지 않는 스테이지입니다. (더미 데이터),,,,Next,FALSE,1,#1 민간인 희생 다이얼로그,13,Campaign 1 appears to have no civilians.
DLG_1_RESULT_AllyDeadWin_003,stage_001,101,Result,Line,AllyDeadWin,Player,당신,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.),,,,Next,TRUE,3,#2 대원 희생 다이얼로그,14,
DLG_1_RESULT_AllyDeadWin_004,stage_001,102,Result,Line,AllyDeadWin,Eliza,부관 엘리자,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.,,,,Next,TRUE,4,#2 대원 희생 다이얼로그,15,
DLG_1_BRIEFING_Any_001,stage_001,201,Briefing,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair30,이번엔 회의장을 기습해야 합니다.,,,,Next,TRUE,8,#3 브리핑 다이얼로그,16,
DLG_1_BRIEFING_Any_002,stage_001,202,Briefing,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair30,"대원들을 적 사이에 신중히 배치하면, 적들이 서로를 해치게 만들 수 있을 겁니다.",,,,Next,TRUE,9,#3 브리핑 다이얼로그,17,
DLG_1_BRIEFING_Any_003,stage_001,203,Briefing,Line,Any,Player,당신,Eliza_Resistance_Despair30,"(모든 것이 다시 시작되었군. 이번엔 다르게, 반드시 희생 없이 끝내야 한다.)",,,,Next,TRUE,10,#3 브리핑 다이얼로그,18,
DLG_1_BRIEFING_Any_004,stage_001,204,Briefing,Line,Any,Player,당신,Eliza_Resistance_Despair30,작전지로 이동하지.,,,,Next,TRUE,11,#3 브리핑 다이얼로그,19,
DLG_1_CHOICE_Any_001,stage_001,301,Choice,Choice,Any,Player,당신,Eliza_Resistance_Despair30,선택지 A가 등장하지 않는 스테이지입니다. (더미 데이터),Campaign1_Choice,A,선택지 A가 등장하지 않는 스테이지입니다. (더미 데이터),ShowSortieLine,FALSE,5,#4 선택 대사 A,20,
DLG_1_CHOICE_Any_002,stage_001,302,Choice,Choice,Any,Player,당신,Eliza_Resistance_Despair30,선택지 B가 등장하지 않는 스테이지입니다. (더미 데이터),Campaign1_Choice,B,선택지 B가 등장하지 않는 스테이지입니다. (더미 데이터),ShowSortieLine,FALSE,6,#4 선택 대사 B,21,
DLG_1_SORTIE_Any_001,stage_001,401,Sortie,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair30,"네, 대장. 작전지로 출발합니다. 알렌을 위해!",,,,NextStage,TRUE,7,#5 출정 다이얼로그,22,
DLG_2_RESULT_PerfectWin_001,stage_002,101,Result,Line,PerfectWin,Eliza,부관 엘리자,Eliza_Resistance_Joy,"전장을 완벽히 장악하셨군요, 적들을 서로 겨누게 하다니… 대단한 전략입니다.",,,,Next,TRUE,0,#1 완전 승리 다이얼로그,23,
DLG_2_RESULT_CivilianDeadWin_002,stage_002,101,Result,Line,CivilianDeadWin,Eliza,부관 엘리자,Eliza_Resistance_Despair30,민간인이 등장하지 않는 스테이지입니다. (더미 데이터),,,,Next,FALSE,1,#1 민간인 희생 다이얼로그,24,
DLG_2_RESULT_AllyDeadWin_003,stage_002,101,Result,Line,AllyDeadWin,Player,당신,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.),,,,Next,TRUE,3,#2 대원 희생 다이얼로그,25,
DLG_2_RESULT_AllyDeadWin_004,stage_002,102,Result,Line,AllyDeadWin,Eliza,부관 엘리자,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.,,,,Next,TRUE,4,#2 대원 희생 다이얼로그,26,
DLG_2_BRIEFING_Any_001,stage_002,201,Briefing,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair30,칼트 병력이 선술집을 오간다는 정보가 있습니다.,,,,Next,TRUE,8,#3 브리핑 다이얼로그,27,
DLG_2_BRIEFING_Any_002,stage_002,202,Briefing,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair30,그동안 쌓아온 지휘 능력을 발휘할 때입니다.,,,,Next,TRUE,9,#3 브리핑 다이얼로그,28,
DLG_2_BRIEFING_Any_003,stage_002,203,Briefing,Line,Any,Player,당신,Eliza_Resistance_Despair30,"(그 날의 전투, 희생...  몇 번을 되돌려도 선명하군.)",,,,Next,TRUE,10,#3 브리핑 다이얼로그,29,
