Level,MainMission,SubMission_1,SubMission_2,Brawler,Slasher,Gunman,Order
Campaign 1,선술집 내 칼트 병력 제거,전투원 희생 없이 작전 수행,,1,1,1,0
Campaign 2,회의장 내 칼트 병력 제거,전투원 희생 없이 작전 수행,,1,1,1,0
Campaign 3,선술집 내 칼트 병력 제거,전투원 희생 없이 작전 수행,,1,1,1,0
Campaign 4,협정 참가자 명단 확보,전투원 희생 없이 작전 수행,,1,1,2,0
Campaign 5,협정 일정 정보 확보,전투원 희생 없이 작전 수행,,1,1,2,1
Campaign 6,칼트 병력 제거 및 분산,전투원 희생 없이 작전 수행,,1,1,2,1
Campaign 7,연설장 잠입 및 초대장 확보,전투원 희생 없이 작전 수행,부관 희생 없이 작전 수행,1,1,2,0
Campaign 8,총리를 제거하여 협정 저지,전투원 희생 없이 작전 수행,,1,1,2,0
Campaign 9,총리를 제거하여 협정 저지,전투원 희생 없이 작전 수행,민간인 희생 없이 작전 수행,1,1,2,1
Challenge 1,도전 모드 1,,,1,1,2,0
Challenge 2,도전 모드 2,,,1,1,2,0
Challenge 3,도전 모드 3,,,1,1,2,1
Challenge 4,도전 모드 4,,,1,1,2,1
Challenge 5,도전 모드 5,,,1,1,2,1
Challenge 6,도전 모드 6,,,1,1,2,1
Challenge 7,도전 모드 7,,,1,1,2,1
